"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","0,56","0,56","0,56","0,56","-","-1,75%"
"08/04/2020","0,57","0,56","0,57","0,56","1,00K","0,00%"
"07/04/2020","0,57","0,57","0,58","0,57","6,31K","-1,72%"
"06/04/2020","0,58","0,58","0,58","0,58","0,19K","0,00%"
"01/04/2020","0,58","0,59","0,59","0,57","2,00K","0,00%"
"31/03/2020","0,58","0,59","0,59","0,57","3,01K","0,00%"
"30/03/2020","0,58","0,60","0,60","0,58","7,31K","-1,69%"
"25/03/2020","0,59","0,58","0,59","0,57","3,02K","1,72%"
"24/03/2020","0,58","0,56","0,58","0,56","6,64K","1,75%"
"23/03/2020","0,57","0,57","0,57","0,57","0,01K","-1,72%"
"19/03/2020","0,58","0,58","0,58","0,58","0,06K","-4,92%"
"17/03/2020","0,61","0,61","0,61","0,61","0,01K","0,00%"
"16/03/2020","0,61","0,61","0,61","0,61","0,02K","-3,17%"
"12/03/2020","0,63","0,63","0,63","0,63","0,00K","0,00%"
"11/03/2020","0,63","0,61","0,63","0,61","22,69K","1,61%"
"10/03/2020","0,62","0,60","0,62","0,60","26,43K","1,64%"
"09/03/2020","0,61","0,62","0,62","0,61","0,01K","-1,61%"
"06/03/2020","0,62","0,62","0,63","0,61","69,16K","0,00%"
"05/03/2020","0,62","0,63","0,63","0,62","1,25K","-1,59%"
"04/03/2020","0,63","0,62","0,63","0,61","20,63K","3,28%"
"03/03/2020","0,61","0,60","0,62","0,58","29,94K","1,67%"
"02/03/2020","0,60","0,59","0,60","0,58","56,45K","3,45%"
"28/02/2020","0,58","0,57","0,58","0,56","47,82K","0,00%"
"27/02/2020","0,58","0,57","0,58","0,56","10,18K","0,00%"
"26/02/2020","0,58","0,56","0,58","0,56","3,61K","1,75%"
"25/02/2020","0,57","0,59","0,59","0,57","2,39K","-1,72%"
"24/02/2020","0,58","0,58","0,58","0,58","0,31K","-1,69%"
"21/02/2020","0,59","0,58","0,59","0,57","7,96K","1,72%"
"20/02/2020","0,58","0,57","0,58","0,57","1,58K","0,00%"
"19/02/2020","0,58","0,58","0,59","0,58","2,81K","-1,69%"
"18/02/2020","0,59","0,59","0,59","0,58","12,32K","1,72%"
"17/02/2020","0,58","0,56","0,58","0,56","32,56K","1,75%"
"14/02/2020","0,57","0,57","0,57","0,55","20,91K","1,79%"
"13/02/2020","0,56","0,56","0,57","0,55","29,09K","-1,75%"
"12/02/2020","0,57","0,58","0,59","0,57","2,97K","0,00%"
"11/02/2020","0,57","0,57","0,58","0,56","29,54K","0,00%"
"10/02/2020","0,57","0,58","0,58","0,57","2,57K","0,00%"
"07/02/2020","0,57","0,58","0,58","0,57","1,87K","0,00%"
"06/02/2020","0,57","0,58","0,58","0,57","11,78K","-1,72%"
"05/02/2020","0,58","0,56","0,58","0,56","15,13K","1,75%"
"04/02/2020","0,57","0,57","0,57","0,55","38,88K","3,64%"
"03/02/2020","0,55","0,57","0,59","0,55","90,59K","-3,51%"
"31/01/2020","0,57","0,60","0,60","0,57","30,62K","-3,39%"
"30/01/2020","0,59","0,60","0,61","0,59","23,49K","0,00%"
"29/01/2020","0,59","0,57","0,61","0,57","56,37K","0,00%"
"28/01/2020","0,59","0,60","0,62","0,59","58,48K","-6,35%"
"27/01/2020","0,63","0,63","0,64","0,62","13,29K","-3,08%"
"24/01/2020","0,65","0,67","0,67","0,63","86,03K","0,00%"
"23/01/2020","0,65","0,62","0,65","0,62","144,47K","6,56%"
"22/01/2020","0,61","0,61","0,61","0,61","13,38K","7,02%"
"20/01/2020","0,57","0,56","0,57","0,56","3,02K","0,00%"
"17/01/2020","0,57","0,56","0,57","0,56","5,66K","0,00%"
"16/01/2020","0,57","0,56","0,57","0,55","20,85K","0,00%"
"15/01/2020","0,57","0,57","0,57","0,56","2,02K","0,00%"
"13/01/2020","0,57","0,57","0,57","0,56","48,28K","-1,72%"
"10/01/2020","0,58","0,59","0,59","0,58","0,44K","-1,69%"
"09/01/2020","0,59","0,59","0,59","0,58","5,81K","1,72%"
"08/01/2020","0,58","0,59","0,59","0,58","11,69K","-3,33%"
"07/01/2020","0,60","0,60","0,60","0,60","2,47K","-1,64%"
"06/01/2020","0,61","0,60","0,61","0,60","3,80K","0,00%"
